task_id,task_index,task_name,language_description,video_path,hf_source_video
task-0000,0,turning_on_radio,Turn on the radio receiver that's on the table in the living room.,videos/task-0000__turning_on_radio.mp4,videos/task-0000/observation.images.rgb.head/episode_00000010.mp4
task-0001,1,picking_up_trash,Put the three can of soda from the living room inside the tash can in the kitchen.,videos/task-0001__picking_up_trash.mp4,videos/task-0001/observation.images.rgb.head/episode_00010010.mp4
task-0002,2,putting_away_Halloween_decorations,"Place each of the two pumpkins and all three candles from the living room inside a cabinet in the living room (use any cabinet), then make sure every cabinet is closed, and position the cauldron so it is next to a table in the living room.",videos/task-0002__putting_away_halloween_decorations.mp4,videos/task-0002/observation.images.rgb.head/episode_00020010.mp4
task-0003,3,cleaning_up_plates_and_food,"From the breakfast table in the kitchen, move both pizzas - keeping each on its plate - into the same refrigerator, put both bowls into one sink, and make sure the refrigerator is closed.",videos/task-0003__cleaning_up_plates_and_food.mp4,videos/task-0003/observation.images.rgb.head/episode_00030010.mp4
task-0004,4,can_meat,"Open the kitchen cabinet, take out the two hinged jars, open them, place exactly two cooked bratwursts from the chopping board on the countertop into each jar, then close both jars, put them back inside the cabinet, and close the cabinet.",videos/task-0004__can_meat.mp4,videos/task-0004/observation.images.rgb.head/episode_00040010.mp4
task-0005,5,setting_mousetraps,"Take the four mousetraps from the cabinet in the bathroom and place them on the bathroom floor. Make sure all four end up on the same floor surface, and ensure that at least two of them are either under or directly next to the same bathroom sink.",videos/task-0005__setting_mousetraps.mp4,videos/task-0005/observation.images.rgb.head/episode_00050020.mp4
task-0006,6,hiding_Easter_eggs,"Take the three Easter eggs out of the wicker basket on the lawn in the garden, then place them on the lawn next to a single tree (choose any tree) so that all three eggs are next to the same tree and none are left in the basket.",videos/task-0006__hiding_easter_eggs.mp4,videos/task-0006/observation.images.rgb.head/episode_00060010.mp4
task-0007,7,picking_up_toys,"Put all the toys in the child's room - the three board games (two on the bed and one on the table), the two jigsaw puzzles on the table, and the tennis ball on the table - inside the toy box on the table in the child's room.",videos/task-0007__picking_up_toys.mp4,videos/task-0007/observation.images.rgb.head/episode_00070010.mp4
task-0008,8,rearranging_kitchen_furniture,"Move the toaster, food processor, and French press from the kitchen countertop into the same kitchen cabinet, and make sure that cabinet is closed at the end.",videos/task-0008__rearranging_kitchen_furniture.mp4,videos/task-0008/observation.images.rgb.head/episode_00080010.mp4
task-0009,9,putting_up_Christmas_decorations_inside,"In the living room, take the wreath, three candy canes, and two pillar candles out of the wicker basket. Place the wreath and two of the candy canes on the same living-room sofa. Put the remaining candy cane on top of a dining-room table. Put both pillar candles together on top of one dining-room table (they can share the same table). Finally, place all three gift boxes under or right next to the Christmas tree in the living room.",videos/task-0009__putting_up_christmas_decorations_inside.mp4,videos/task-0009/observation.images.rgb.head/episode_00090010.mp4
